uri,mood
spotify:track:1NHlyKgtR4roNylOhidKSv,happy
spotify:track:0Se1ajfYEa51gkPKV5UgLV,angry
spotify:track:3xJj1mU7B83yop2dA03Smk,happy
spotify:track:4XiGKQqbmnMVxDzUj6j3f2,happy
spotify:track:3wAbP40X5P9EVWkwmszInb,angry
spotify:track:0aJ2hFC6e9Z00Lx9RIRNcT,happy
spotify:track:29gsi1zZrZxdStACmTQB0Z,happy
spotify:track:6JG0qhINKVwiHxqN85j7RG,happy
spotify:track:3YEbLhXRDPTtctnb3ddg8g,happy
spotify:track:6Dq8FZrvx9S28iyaKSwn9x,happy
spotify:track:0KiRc3f3OI9C7s0S1QjQNO,angry
spotify:track:5VANqRRzSEkEuAi4oO9yag,angry
spotify:track:4jgyACD7IpzYzTtbUr7NAT,angry
spotify:track:6AgtIN7FyBd4zJhZI7mrsz,happy
spotify:track:1fnULsZuORnAgCFFbM8nTZ,angry
spotify:track:28oPZqIeMSGCA9Kwc75j78,sad
spotify:track:4Bxl1qty34HSOKZrRjyj0s,angry
spotify:track:6FeAcc5HLkMdM55tNL2wf8,angry
spotify:track:5Z5k7MQotAckv0S3ZA9dXa,angry
spotify:track:2mYMAJGoauv6LYCpzIOGBi,angry
spotify:track:6JGsVW1nxNaoUAGcOKFZGS,angry
spotify:track:6eMGp0jmEbFxy42ZnyzsLJ,angry
spotify:track:0B1Iqqq8wVoXM5R5glHQES,angry
spotify:track:2dogWSSYkP7dZyZ6KTt4bq,sad
spotify:track:7axVaL2WO7cC3fXxtd9Zlj,angry
spotify:track:1ECcwLhP63lbKSNKuswrNL,angry
spotify:track:6qgyI5w3BRRpnWMwmYO8W7,angry
spotify:track:7yniOnkRyjMmFXleGkG1ON,angry
spotify:track:3KAS4vmuvRGP2BUQcxmu5i,angry
spotify:track:5uywMR3hTeVPoWaFDSliJb,angry
spotify:track:5vBuxtwitUimHR2gBOnJYR,angry
spotify:track:0ZITmDKp01oRCzifItydpK,angry
spotify:track:4tPiirllSFpbeXRzOHUOai,angry
spotify:track:01T0Kq5YOIRF9BQRXJsyfe,angry
spotify:track:5sSiF7LQQJrfYTAnn22D24,angry
spotify:track:1OBMSzh2ocRqK2gUFaMBSM,angry
spotify:track:1gtHjIoQIU5XIcRGjn7DfH,happy
spotify:track:1rxQi3iI4AKbWm04MV1UOr,angry
spotify:track:7eNCd5hipdcUscAHTguegq,angry
spotify:track:3aSUhKMYQkfEOjkdBwWcoC,angry
spotify:track:20vUoaDskVhjYMsNMryrD0,angry
spotify:track:1ylzYcU6FGnuBqqdqqH7QL,sad
spotify:track:5mT8aQv538JCa51xF7K5RX,sad
spotify:track:4I3UW5JYREwCdFoAp0EumB,sad
spotify:track:1CbG6oKKrYEw3W1DnddDFv,sad
spotify:track:6S50xSUj3HNQ7DeV8FRmD9,angry
spotify:track:5eJBLSElrA5kBn4Xvkr5RL,angry
spotify:track:0JqoWsqZNhmUidgll7C7HQ,angry
spotify:track:1fFNSZQFnnPMLzGYZfs0jk,happy
spotify:track:0b0n8tVTaD1QrU5hK4YZHW,happy
spotify:track:382QN9BKDfw4omKUWWevj8,angry
spotify:track:6qwEeAl6Cl32odNr2GIMjm,angry
spotify:track:1TlJuD7pVQnzBtcUNoumP8,happy
spotify:track:7l5GAw0cglUUnN7bKAz5ab,happy
spotify:track:6kRxT8sggyNJ6mYoSKTwCh,happy
spotify:track:5MLlfYP9uZUGqsaPtUAVQe,happy
spotify:track:0EB5fgdGQXZOiOMdRhKeCZ,angry
spotify:track:6AbPoUOuQ0T6m1QPMLhocK,angry
spotify:track:7LppL4kjj3GnYcnL0SC9sc,angry
spotify:track:4VwZ9jqqM8rl5SqjdxHVka,happy
spotify:track:6BgIRM4cFnHEUAIGlqFDEA,happy
spotify:track:3bpR5jv8uzraDgq5YpHwDw,angry
spotify:track:5po4XqNwlBnXXAYLtRcvpT,happy
spotify:track:3dUXPkCP34x762v8cOJTRt,happy
spotify:track:5T3Zp5M8wLSZWljc6ia94X,angry
spotify:track:2PfWdbsxdEj6OKVTCRjOZQ,happy
spotify:track:68Y3zzmt2XxzheQVGbbJt4,angry
spotify:track:0KrywEwYmgdhYTYxRK5oTm,angry
spotify:track:0kiUjW1l4iUmQPYrB4mX27,happy
spotify:track:2ITg4YCRsPuP3Nc0eUX2Bn,happy
spotify:track:6r3Eb6vNIRsYSBIre0RRoq,happy
spotify:track:09riz9pAPJyYYDVynE5xxY,happy
spotify:track:7KKz4Mwcppno0RmyxwEWZa,angry
spotify:track:00UDmkyejOcUApEqpiB90i,happy
spotify:track:2HkzY7FmIS9SW0UHyNVWlG,happy
spotify:track:2gkVweydDn7MmHmqXAlEzk,happy
spotify:track:75kiQfmmuQwgquZ9RLSvuA,happy
spotify:track:7zOIzXpbnCcx6iZfvOjGCQ,sad
spotify:track:6gPqBegU4aDWoSYXeCyURA,happy
spotify:track:4cfH5f8HyhVnUbc8IGT0Rq,angry
spotify:track:13YhC0cjI1F0oQGG5VUWHJ,happy
spotify:track:6bNu7FqRJqhMQb0hAG9HGz,happy
spotify:track:0fd0ENEdQGOtSRi46JqRhB,angry
spotify:track:6DJgQkIMVL86HHxQk5yKPx,happy
spotify:track:0vBZEmFzfP2ZddT3Dv2amZ,happy
spotify:track:3E6coZX2cGtJVVfC3qeDwQ,happy
spotify:track:1nfXSpPmkfXdXK9nOpepUL,happy
spotify:track:7uMAZpdzZN9uzF0x8DzfbS,happy
spotify:track:3qjfuakmtd99Ii3VJNKbzy,happy
spotify:track:6Ia3AjoJDmKuahf8VQAtP0,angry
spotify:track:3GptwqFVjCIs2iLMiGLZTA,sad
spotify:track:6N0AnkdDFZUetw8KAGHV7e,happy
spotify:track:6DiPkm7C3LD9XsJWTGPFgv,angry
spotify:track:55mJleti2WfWEFNFcBduhc,sad
spotify:track:6DyywdbmTzlmXBzG9ym7Rt,sad
spotify:track:5FdEl2UUaCaN2cC70TbLbx,angry
spotify:track:7zAt4tdL44D3VuzsvM0N8n,angry
spotify:track:5uGsG0LfotfWDq6hql4h53,happy
spotify:track:2PpNgmrS9mAyrkRAwn6YPq,angry
spotify:track:0AdjJ2SaOeb5bPJ67nDbsW,sad
spotify:track:1N0j6Gw5lmfI7kipAgYcma,angry
spotify:track:349ROTdCkkzFlT83eJnQLK,happy
spotify:track:7pTcdBKVWAZDbhTLcNOm4b,angry
spotify:track:2NNNgusMpCLNlPDa02B4WC,happy
spotify:track:65ihXYIHnjJQiJRZIXmE9l,angry
spotify:track:2nfKBbywcgCC1yCVIShdu6,angry
spotify:track:4vja6WDnpP5RXZwvydhiUJ,angry
spotify:track:4QoZGQ8woaho94v629kVl1,sad
spotify:track:04ccQGJ1i8gL7JoeCPiJbv,happy
spotify:track:3ggmtswnS5czhEAGDsm6D8,angry
spotify:track:4BbwjVS27IuC7bvN7qzAvS,sad
spotify:track:20WJpmXfRbqeuY2TH5xYna,angry
spotify:track:7iM44xYu5DpsosNxVF32C9,happy
spotify:track:4vLRCGOBz4zIS8nEHk5v9j,happy
spotify:track:38qDc4DgEnnkr9UaRI5owP,sad
spotify:track:4AyfPPuhqgQP6vhpjnkAIm,angry
spotify:track:0bvEKvSwtUFIz3cTo0Otjg,angry
spotify:track:7zKBz4iz95t09O4eCUtppj,sad
spotify:track:6NvyA6yEPhX2rCtok93tBd,angry
spotify:track:4heBMHhK2sGEINmK2v5mJW,angry
spotify:track:0pqXmjMhNVD9oq00BpB2tm,angry
spotify:track:2iQNTD3soB2hrXng9flo7V,angry
spotify:track:1G2TUxQCyUieOl4maQErch,sad
spotify:track:1sT1TK3UxCpSFfa75DlSVE,happy
spotify:track:1UCVBKhJeeAA1nJ6PCkelC,happy
spotify:track:0Z8U82dP77AcJZvd696LiN,happy
spotify:track:2ncMlnrDwSfnYnV5ixxuib,happy
spotify:track:4FHMYgQiGlji1CcYCCHzOT,angry
spotify:track:5Z2gIlGW3YwlOuxHUvDCSH,angry
spotify:track:5SYmadcED60vbjSfF1I5W0,happy
spotify:track:3UJvgGaBEJcDqz61mbvqAp,happy
spotify:track:4VYLBtOHx9WYSFXHYnzVbN,happy
spotify:track:2HiXyVv2tfjIGJh02brVDY,happy
spotify:track:3AF6fQUuWNKTk4nM87aHrW,angry
spotify:track:7mqltiof519WEup2CsauF3,angry
spotify:track:1LcRCeWlR0PMYWqKP71hyz,angry
spotify:track:1XlQxeWceOaAtmOKxM6YgZ,happy
spotify:track:7d4i7rPP7koRtUx4qpu1aR,angry
spotify:track:6e8qN87ByKix1YKLAZivpG,happy
spotify:track:1T8X4qMLxKPtEXuUQR8InA,angry
spotify:track:616ISOTPXkBM747Gp4C5cZ,angry
spotify:track:1wo1kn8WXWDwHuxlX4MqEM,angry
spotify:track:6bsDGJgN6ZU2Eq7HBb6ah7,angry
spotify:track:6kRCldKl0eGRLa5Egfi9m8,angry
spotify:track:5XcZRgJv3zMhTqCyESjQrF,angry
spotify:track:3WW3g2scq0m7ZY5JCxrdWw,happy
spotify:track:4xrlTtOEd3OHvQT8eu5JYY,sad
spotify:track:0kly0FygSDXVbvbXxsZ31S,happy
spotify:track:1bKQ48M9onID2kbSpRy8kK,sad
spotify:track:2SEGYVnWImKLUOkU3Qa8sX,sad
spotify:track:08kvJTpcthAvvvW0BAcGHN,sad
spotify:track:0sNKiz82ATCvT3f3XVVUUj,happy
spotify:track:5JGdpqo9wrRtOZtui5GShI,sad
spotify:track:6TWYdlmZVmZYcJlQ82ff1K,happy
spotify:track:7cm9QkrwSWH0scegcO8XZ2,sad
spotify:track:23TxRN09aR1RB0G0tFoT0b,angry
spotify:track:4vmh7eU8avZN1xnVcj5ewl,happy
spotify:track:6OSyCAmXT4Gkd3OQ2aPOaF,sad
spotify:track:4qz8PpznLcX5AtoUusIiAh,happy
spotify:track:5t5rCnsgRBtcKqTB7SbD1Q,sad
spotify:track:0j3QN4uiMdf8gI12JATZ9B,happy
spotify:track:1BZMMt9H0TheQGWQy44KmO,happy
spotify:track:3Ug96zKa29P3vICEEcYajZ,happy
spotify:track:4AjKVyNUMdUveKK5OH1OJD,sad
spotify:track:6z3JD6IqVvu6TUBtCfQPbe,happy
spotify:track:2Z81PDDYNMTxZKiU2XIuFx,sad
spotify:track:1grnSNpTAe14gjtqfArZan,happy
spotify:track:0iVxgd7ppCu5sFGGMAWjz4,sad
spotify:track:1S1TItTK7HaRDnfj1vZ80Q,happy
spotify:track:2cFl7utlqyZjCXN1G5nRvA,happy
spotify:track:0ttHpMs250dpFkCYAnuhnE,angry
spotify:track:53gICBFEg4uf1XVuWJOyKv,happy
spotify:track:5MHAPsmn3q5VMhVJLzuHz1,happy
spotify:track:5gpJr7OLgZWVYAyKWj0GuH,angry
spotify:track:58MDm6l6mI4hGaRqNezOnu,happy
spotify:track:0XVikcHfkoBvJ5ZU8xQBWn,happy
spotify:track:56r15mfaTXZoGEYBe2FHur,happy
spotify:track:2GrXeR0yhjkyXTp0alMF2u,happy
spotify:track:2sNc1BGA2hqnGLHLNfRHQO,sad
spotify:track:452fSzvkB2A8FHVI4JKK2S,happy
spotify:track:6I1rRTrHoY0VDJPi64OYH5,happy
spotify:track:2NNiZ5qwYIKAwjbHJsxtAO,happy
spotify:track:5AoBNJQDXXEnIJGjJjZu3y,happy
spotify:track:1EZhWJQFf85g6d055Gji8c,happy
spotify:track:0Mx4pB4WcLA6rjnQ7xPAh3,happy
spotify:track:4QhFrBkJ3Rqx66Xs8xwH8o,angry
spotify:track:3ZbKXr94aIWo5Zzflzvi2S,angry
spotify:track:5xYI4ZcyAHq3ruRnFazHnN,happy
spotify:track:2UEO6nY7H4MPbcSbl584aO,happy
spotify:track:66Mg2JN9fJGEsl4ne4nTf3,sad
spotify:track:3QE9qyQrIgefznSchAYJPB,sad
spotify:track:0YfRAYTNTNszGg8VARrSIH,happy
spotify:track:0H9Q7Vzu8nYRDBZYKbtU8d,angry
spotify:track:4W38RXuQNuoTSwVsQA1OGC,happy
spotify:track:24OqdtijU1mbtv1qINaLi7,happy
spotify:track:3fHgqkRp331r3W0WtUGBGr,sad
spotify:track:5ukbCSlWXCWimfHlajkhhn,happy
spotify:track:1uaORxvjlpGSLouYxVd1RF,angry
spotify:track:1UYfAU2bwgjaM5rIIPQleC,happy
spotify:track:0lQJBl9YEsoMtE8D4yTE9g,sad
spotify:track:0OPcMpjhDyILRccj05f6S6,angry
spotify:track:4GyD3o5hWoyCuYpdlzZlRL,happy
spotify:track:7szRiHu6r91o2Po9GTPN4c,happy
spotify:track:0sKEilrw1GrBlG6qsTCrP4,sad
spotify:track:4obHzpwGrjoTuZh2DItEMZ,happy
spotify:track:7ptJYMKI7Y1iWdqEZtBMGE,happy
spotify:track:4epT3dGZ8ZHCYeilqHqytL,happy
spotify:track:4O0zreyoc4TDY5bRRwVSB4,happy
spotify:track:3Jc3q6VtqiitLnPMQpaOLR,happy
spotify:track:5ShLUMwHZ2X0oi1f4ht5f7,happy
spotify:track:0BSoBer7jdwq4NsIwPL4Y1,angry
spotify:track:61qtnvPp4GwaoxhE1wBARP,angry
spotify:track:0Di4xlEas5KZ4pF52Vb2tG,happy
spotify:track:5NODCmCqkd4PfAYKX24of3,angry
spotify:track:61mwOhgwNZ4hR9YlZPJ0tD,angry
spotify:track:4bcrmcJyGJ5Bj88IToKosQ,angry
spotify:track:0t7mQWJT3f9wSd6q0wqocE,happy
