name,artist,spotify_id,tags,genre,year,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_track_url
Seven Nation Army,The White Stripes,025zyxycElQVXwZSzrvJQr,"rock, alternative, indie, alternative_rock, indie_rock",unknown,2008,232680,0.759,0.465,-7.602,0.0806,0.00662,0.288,0.257,0.305,124.049,https://open.spotify.com/track/025zyxycElQVXwZSzrvJQr
Feel Good Inc.,Gorillaz,09xrHi86kLkEIzDLZiHNnv,"rock, electronic, alternative, indie, pop, alternative_rock, dance, british, hip_hop, trip_hop",RnB,2010,223106,0.809,0.72,-7.776,0.136,0.0337,0.00141,0.826,0.832,138.556,https://open.spotify.com/track/09xrHi86kLkEIzDLZiHNnv
Chop Suey!,System of a Down,0EIIqshB4doby2sMQpeqGN,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",Metal,2008,210480,0.42,0.925,-4.217,0.12,0.000363,0.002,0.1,0.322,127.422,https://open.spotify.com/track/0EIIqshB4doby2sMQpeqGN
Fix You,Coldplay,0Kk4dfh9Kq7Okg4T58IBVR,"rock, alternative, indie, pop, alternative_rock, british, love, beautiful, britpop, mellow",unknown,2016,295826,0.213,0.416,-8.683,0.0336,0.164,0.00168,0.11,0.129,138.478,https://open.spotify.com/track/0Kk4dfh9Kq7Okg4T58IBVR
Lithium,Nirvana,07hCnHx9DhqZg5eN6RvCbd,"rock, alternative, alternative_rock, 90s, grunge",unknown,1991,257053,0.678,0.656,-6.41,0.0381,0.00174,0.0,0.0631,0.485,123.207,https://open.spotify.com/track/07hCnHx9DhqZg5eN6RvCbd
Song 2,Blur,0g0VHJLFYFN3yHZImyQhPA,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",unknown,2012,122080,0.676,0.723,-5.127,0.131,0.00227,0.0199,0.0897,0.779,129.7,https://open.spotify.com/track/0g0VHJLFYFN3yHZImyQhPA
In the End,Linkin Park,138JuTi1U3WIROalXod9FB,"rock, alternative, metal, alternative_rock, nu_metal",unknown,2000,216933,0.542,0.853,-6.407,0.0498,0.0103,0.0,0.108,0.37,105.256,https://open.spotify.com/track/138JuTi1U3WIROalXod9FB
Chasing Cars,Snow Patrol,01Jvw9zNg5LM2RF8WNfnLy,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, love, beautiful, britpop, mellow",unknown,2006,265573,0.558,0.568,-5.731,0.0267,0.211,5e-05,0.104,0.125,104.0,https://open.spotify.com/track/01Jvw9zNg5LM2RF8WNfnLy
Otherside,Red Hot Chili Peppers,0lfH1VLbnBywPOmIMit60M,"rock, alternative, alternative_rock, 90s, funk",unknown,2014,255400,0.459,0.795,-3.265,0.0575,0.00316,0.000202,0.0751,0.513,123.23,https://open.spotify.com/track/0lfH1VLbnBywPOmIMit60M
When You Were Young,The Killers,028sncWcELBmNBE6RYSRxh,"rock, alternative, indie, alternative_rock, indie_rock",unknown,2012,218053,0.466,0.981,-3.944,0.112,0.000124,0.0683,0.323,0.313,130.403,https://open.spotify.com/track/028sncWcELBmNBE6RYSRxh
Supermassive Black Hole,Muse,0v6Mi3f552jMW6dhYoKAbC,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british",unknown,2010,209546,0.667,0.891,-5.126,0.0445,0.0397,0.00715,0.284,0.837,120.01,https://open.spotify.com/track/0v6Mi3f552jMW6dhYoKAbC
Bohemian Rhapsody,Queen,0LiLzOhHCyGnCX1znFrtul,"rock, classic_rock, hard_rock, 80s, british, 70s",unknown,2016,356086,0.405,0.405,-9.259,0.051,0.133,2.23e-06,0.259,0.228,141.173,https://open.spotify.com/track/0LiLzOhHCyGnCX1znFrtul
Use Somebody,Kings of Leon,03BednbxXIA23kUtR5HMQ9,"rock, alternative, indie, alternative_rock, indie_rock",Electronic,2003,230960,0.276,0.755,-5.406,0.046,0.00583,0.000543,0.183,0.194,137.149,https://open.spotify.com/track/03BednbxXIA23kUtR5HMQ9
Starlight,Muse,0hlK03xCSPtLSFJdlZM2kZ,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british, beautiful, britpop",unknown,2006,243293,0.555,0.88,-3.888,0.0312,0.000212,0.000198,0.127,0.266,121.57,https://open.spotify.com/track/0hlK03xCSPtLSFJdlZM2kZ
Paranoid Android,Radiohead,0bomiLGPTUNyk3mV19pbwN,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, progressive_rock, british, 90s, britpop",Jazz,2012,384933,0.232,0.8,-6.863,0.0573,0.0523,0.00606,0.118,0.299,81.849,https://open.spotify.com/track/0bomiLGPTUNyk3mV19pbwN
Everlong,Foo Fighters,07q6QTQXyPRCf7GbLakRPr,"rock, alternative, alternative_rock, hard_rock, 90s, grunge",unknown,2009,249986,0.415,0.867,-5.497,0.0387,5.69e-05,0.000192,0.0883,0.36,157.902,https://open.spotify.com/track/07q6QTQXyPRCf7GbLakRPr
No Surprises,Radiohead,0ijMYjXk5iRZp2VsiC8MC8,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, beautiful, britpop, mellow",unknown,2008,229120,0.255,0.393,-10.654,0.0278,0.0577,0.00361,0.113,0.118,76.426,https://open.spotify.com/track/0ijMYjXk5iRZp2VsiC8MC8
Iris,Goo Goo Dolls,0Ik6qKLeS741z2Xl2oy0YS,"rock, alternative, pop, alternative_rock, soundtrack, 90s, love, beautiful",unknown,2013,289533,0.315,0.715,-8.072,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,https://open.spotify.com/track/0Ik6qKLeS741z2Xl2oy0YS
Numb,Linkin Park,0kO3njY9N1Rxgv27Ha1lLh,"rock, alternative, metal, alternative_rock, nu_metal",unknown,2003,185586,0.496,0.863,-4.153,0.0381,0.0046,0.0,0.639,0.243,110.018,https://open.spotify.com/track/0kO3njY9N1Rxgv27Ha1lLh
Zombie,The Cranberries,01vQXuDFQPIizZb7XE3BqN,"rock, alternative, female_vocalists, alternative_rock, 90s",unknown,2007,307400,0.311,0.664,-7.684,0.0357,0.0202,0.00419,0.374,0.265,166.821,https://open.spotify.com/track/01vQXuDFQPIizZb7XE3BqN
Dani California,Red Hot Chili Peppers,0BWx4WKgUXKHj8npThsbcH,"rock, alternative, alternative_rock, funk",unknown,2006,282160,0.556,0.913,-2.36,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,https://open.spotify.com/track/0BWx4WKgUXKHj8npThsbcH
Stairway to Heaven,Led Zeppelin,03hLW9osM6UuNqlpwL8XPo,"rock, classic_rock, hard_rock, progressive_rock, 70s",Punk,2013,488019,0.354,0.361,-12.722,0.0509,0.625,0.0112,0.35,0.212,80.36,https://open.spotify.com/track/03hLW9osM6UuNqlpwL8XPo
Welcome to the Jungle,Guns N' Roses,0Aau2Ju1RoLAhL90zRcDx4,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal",unknown,2014,377386,0.272,0.91,-9.59,0.254,0.106,0.0229,0.523,0.154,130.139,https://open.spotify.com/track/0Aau2Ju1RoLAhL90zRcDx4
Clint Eastwood,Gorillaz,04ucB3K9gVnynVBkDMdd0T,"rock, electronic, alternative, indie, pop, alternative_rock, british, rap, hip_hop, trip_hop, 00s",unknown,2012,337720,0.659,0.712,-7.602,0.173,0.0249,0.0,0.0801,0.556,167.948,https://open.spotify.com/track/04ucB3K9gVnynVBkDMdd0T
Paint It Black,The Rolling Stones,0hBZCHzVNvboVLWS7aNKRO,"rock, classic_rock, british, 60s",unknown,1971,202106,0.456,0.793,-9.17,0.098,0.0486,0.00205,0.376,0.615,158.787,https://open.spotify.com/track/0hBZCHzVNvboVLWS7aNKRO
Reptilia,The Strokes,2hmibAtdObO8F4tnhLENuQ,"rock, alternative, indie, alternative_rock, indie_rock, post_punk, 00s",unknown,2003,219826,0.488,0.65,-5.11,0.0336,0.000597,0.714,0.101,0.77,158.011,https://open.spotify.com/track/2hmibAtdObO8F4tnhLENuQ
The Pretender,Foo Fighters,0FTZhIxKaX6HqJA0MvGR16,"rock, alternative, alternative_rock, hard_rock, grunge",unknown,2007,269320,0.433,0.958,-4.063,0.0433,0.000895,0.0,0.0237,0.359,172.969,https://open.spotify.com/track/0FTZhIxKaX6HqJA0MvGR16
All These Things That I've Done,The Killers,07ygRsnqBqNFfdpmH3BeOV,"rock, alternative, indie, alternative_rock, indie_rock, 00s",unknown,2013,303213,0.548,0.751,-5.077,0.0418,0.00219,1.9e-05,0.142,0.219,118.267,https://open.spotify.com/track/07ygRsnqBqNFfdpmH3BeOV
Losing My Religion,R.E.M.,04pRvt8HcPmmP6EeZoYMxa,"rock, alternative, indie, pop, alternative_rock, classic_rock, 90s",Pop,2014,288160,0.668,0.736,-10.753,0.0277,0.0115,0.000259,0.337,0.629,126.978,https://open.spotify.com/track/04pRvt8HcPmmP6EeZoYMxa
Paranoid,Black Sabbath,01dw6mDc9xJMoEPasHaV7Y,"rock, metal, classic_rock, hard_rock, heavy_metal, 70s",unknown,2010,166546,0.413,0.772,-8.626,0.0778,0.0017,0.233,0.232,0.492,163.073,https://open.spotify.com/track/01dw6mDc9xJMoEPasHaV7Y
Time Is Running Out,Muse,0bAng0CKxaDaXiLDNca9cc,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british",unknown,2003,236226,0.575,0.854,-5.748,0.0527,0.00246,0.00206,0.122,0.443,118.225,https://open.spotify.com/track/0bAng0CKxaDaXiLDNca9cc
I Kissed a Girl,Katy Perry,005lwxGU1tms6HGELIcUv9,"rock, pop, female_vocalists, dance, pop_rock",unknown,2008,179640,0.699,0.76,-3.173,0.0677,0.00223,0.0,0.132,0.696,129.996,https://open.spotify.com/track/005lwxGU1tms6HGELIcUv9
Where Is My Mind?,Pixies,0DJU6KGwdkxEPCy3BZ3UZY,"rock, alternative, indie, alternative_rock, indie_rock, 80s, soundtrack",Rock,2005,230093,0.514,0.435,-13.517,0.0353,0.0078,0.000859,0.0802,0.212,82.104,https://open.spotify.com/track/0DJU6KGwdkxEPCy3BZ3UZY
Bitter Sweet Symphony,The Verve,0jLnevC3Vn34qVWrAa4X6x,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, soundtrack, 90s, beautiful, britpop",unknown,1999,358333,0.383,0.907,-5.409,0.0405,0.0313,0.0,0.347,0.514,171.052,https://open.spotify.com/track/0jLnevC3Vn34qVWrAa4X6x
Toxicity,System of a Down,0snQkGI5qnAmohLE7jTsTn,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",unknown,2001,218933,0.413,0.873,-4.151,0.0536,0.000264,0.00249,0.204,0.48,116.68,https://open.spotify.com/track/0snQkGI5qnAmohLE7jTsTn
Basket Case,Green Day,2WtF8X3W7iHPF2KaJGUCuO,"rock, alternative, alternative_rock, punk, punk_rock, 90s",Rock,2017,181533,0.442,0.943,-3.205,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,https://open.spotify.com/track/2WtF8X3W7iHPF2KaJGUCuO
Heart-Shaped Box,Nirvana,0FMu3Z1yvTJKLWgxG6ZLS5,"rock, alternative, alternative_rock, 90s, grunge",Rock,2007,278520,0.609,0.842,-5.861,0.0342,0.0044,0.0116,0.353,0.459,115.158,https://open.spotify.com/track/0FMu3Z1yvTJKLWgxG6ZLS5
By the Way,Red Hot Chili Peppers,1f2V8U1BiWaC9aJWmpOARe,"rock, alternative, alternative_rock, funk",unknown,2002,216933,0.451,0.97,-4.938,0.107,0.0264,0.00355,0.102,0.198,122.444,https://open.spotify.com/track/1f2V8U1BiWaC9aJWmpOARe
I Will Follow You Into The Dark,Death Cab for Cutie,05LxlxqXeHh8Chl0ro8KHQ,"rock, alternative, indie, indie_rock, acoustic, emo, love, beautiful, mellow",unknown,2015,189186,0.517,0.206,-12.233,0.0421,0.924,0.0,0.118,0.489,80.401,https://open.spotify.com/track/05LxlxqXeHh8Chl0ro8KHQ
Smile Like You Mean It,The Killers,03xdrZszrWGIMqyxByAiH5,"rock, alternative, indie, pop, alternative_rock, indie_rock",Rock,2004,235480,0.369,0.981,-2.62,0.16,0.000391,0.0104,0.16,0.379,125.002,https://open.spotify.com/track/03xdrZszrWGIMqyxByAiH5
Hysteria,Muse,01gGZKbc2EXSZCrk3g9nHJ,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british",Rock,2010,226760,0.411,0.914,-6.121,0.051,0.000462,0.00103,0.146,0.441,93.123,https://open.spotify.com/track/01gGZKbc2EXSZCrk3g9nHJ
In Bloom,Nirvana,2qdRHMosT8YO3zfEJQXHsW,"rock, alternative, alternative_rock, 90s, grunge",Punk,1991,254760,0.433,0.744,-8.97,0.0449,9.84e-06,7.73e-05,0.29,0.595,157.18,https://open.spotify.com/track/2qdRHMosT8YO3zfEJQXHsW
Love Will Tear Us Apart,Joy Division,01Y6Ruj8IP2zvXfXjvlcTs,"rock, alternative, indie, 80s, british, new_wave, post_punk, love",unknown,2012,190826,0.393,0.87,-8.149,0.073,0.00517,0.308,0.137,0.602,157.075,https://open.spotify.com/track/01Y6Ruj8IP2zvXfXjvlcTs
Don't Stop Believin',Journey,0A9NRug5YgRpwKBbcaovYH,"rock, classic_rock, 80s",unknown,2015,249293,0.492,0.779,-7.73,0.04,0.263,0.0,0.447,0.476,119.242,https://open.spotify.com/track/0A9NRug5YgRpwKBbcaovYH
Someday,The Strokes,13hsNLxj4Q6E8b5Yg1IquK,"rock, alternative, indie, alternative_rock, indie_rock, 00s",unknown,2001,183440,0.538,0.52,-7.46,0.0299,0.00425,0.0,0.367,0.678,106.031,https://open.spotify.com/track/13hsNLxj4Q6E8b5Yg1IquK
Don't Panic,Coldplay,0MbCcvzLYu3xq6OgEkSbhC,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, soundtrack, beautiful, britpop, mellow, chill",unknown,1999,158426,0.62,0.6,-10.061,0.0493,0.0345,0.514,0.108,0.427,118.016,https://open.spotify.com/track/0MbCcvzLYu3xq6OgEkSbhC
Boulevard of Broken Dreams,Green Day,1hwJKpe0BPUsq6UUrwBWTw,"rock, alternative, alternative_rock, punk, punk_rock",unknown,2004,261266,0.49,0.679,-3.68,0.0309,0.00394,1.54e-05,0.0383,0.506,167.046,https://open.spotify.com/track/1hwJKpe0BPUsq6UUrwBWTw
Back in Black,AC/DC,08mG3Y1vljYA6bvDt4Wqkj,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal",unknown,1980,255493,0.31,0.7,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj
Float On,Modest Mouse,1Urf1M52P3R6NYdAOJizoW,"rock, alternative, indie, alternative_rock, indie_rock, indie_pop, 00s",Rock,2004,208466,0.646,0.893,-4.799,0.0301,0.0151,3.59e-06,0.0892,0.559,100.951,https://open.spotify.com/track/1Urf1M52P3R6NYdAOJizoW
Bring Me to Life,Evanescence,00zmBA9YVd5z3ptHFIMGlL,"rock, alternative, female_vocalists, metal, alternative_rock, gothic_metal, gothic",unknown,2003,236333,0.332,0.93,-4.748,0.107,0.0107,3.84e-06,0.142,0.296,190.074,https://open.spotify.com/track/00zmBA9YVd5z3ptHFIMGlL
Can't Stop,Red Hot Chili Peppers,3ZOEytgrvLwQaqXreDs2Jx,"rock, alternative, alternative_rock, funk",Electronic,2002,269000,0.618,0.938,-3.442,0.0456,0.0179,0.0,0.167,0.875,91.455,https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx
She Will Be Loved,Maroon 5,03YDy08NY89fQZzhobPz0x,"rock, alternative, pop, alternative_rock, love, pop_rock",unknown,2011,256613,0.697,0.704,-4.969,0.0309,0.0659,0.0,0.128,0.52,102.024,https://open.spotify.com/track/03YDy08NY89fQZzhobPz0x
Nothing Else Matters,Metallica,0nLiqZ6A27jJri2VCalIUs,"rock, metal, hard_rock, heavy_metal, thrash_metal, 90s",Metal,1991,388266,0.553,0.362,-11.218,0.0263,0.0458,6.01e-06,0.075,0.158,142.352,https://open.spotify.com/track/0nLiqZ6A27jJri2VCalIUs
Paradise City,Guns N' Roses,0LobJmDKU8e8oOJVwIOl55,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal",unknown,1998,405666,0.267,0.977,-6.355,0.0896,0.00384,0.00634,0.171,0.471,99.766,https://open.spotify.com/track/0LobJmDKU8e8oOJVwIOl55
Naïve,The Kooks,0itk18Y362KvHpXVwcF6yG,"rock, alternative, indie, indie_rock, british, britpop",Rock,2012,203680,0.559,0.791,-6.966,0.0662,0.0668,0.0,0.23,0.716,103.38,https://open.spotify.com/track/0itk18Y362KvHpXVwcF6yG
Trouble,Coldplay,09LoXTH3aa72YWMMYkPtKT,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, piano, beautiful, britpop, mellow",Rock,2011,270666,0.558,0.511,-7.346,0.03,0.176,0.000952,0.151,0.184,139.858,https://open.spotify.com/track/09LoXTH3aa72YWMMYkPtKT
In My Place,Coldplay,0M1MFIuPCxRitJ4lF7q3tx,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, 00s, britpop, mellow",Rock,2012,228346,0.423,0.566,-6.55,0.0272,0.0526,3.66e-06,0.196,0.218,144.688,https://open.spotify.com/track/0M1MFIuPCxRitJ4lF7q3tx
No One Knows,Queens of the Stone Age,063ZwzDTRdyhMa4mKqpfnv,"rock, alternative, alternative_rock, hard_rock, 00s",unknown,2007,255133,0.508,0.516,-6.996,0.0446,0.015,0.000988,0.0663,0.716,170.901,https://open.spotify.com/track/063ZwzDTRdyhMa4mKqpfnv
Rape Me,Nirvana,11Tm0hw3DDF1gqU0kSEwiC,"rock, alternative, alternative_rock, 90s, grunge",Rock,1993,170000,0.417,0.739,-10.543,0.0466,0.0186,0.0,0.0638,0.255,111.928,https://open.spotify.com/track/11Tm0hw3DDF1gqU0kSEwiC
Polly,Nirvana,0xHch89AN9RlN8Nm4kJzs3,"rock, alternative, alternative_rock, 90s, acoustic, grunge",unknown,1994,196466,0.618,0.392,-11.941,0.0388,0.683,7.09e-05,0.905,0.437,115.075,https://open.spotify.com/track/0xHch89AN9RlN8Nm4kJzs3
Hurt,Johnny Cash,1jHhOrH4kIhjLFvagzvw1s,"rock, classic_rock, folk, singer_songwriter, acoustic, country, beautiful, cover",unknown,2007,218586,0.521,0.304,-11.577,0.0276,0.803,0.00231,0.0929,0.184,90.819,https://open.spotify.com/track/1jHhOrH4kIhjLFvagzvw1s
High and Dry,Radiohead,0LNkoLBBuDYHc5OKY2bOvx,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, acoustic, beautiful, britpop",unknown,2008,257480,0.418,0.383,-11.782,0.0257,0.0718,0.0177,0.0896,0.352,87.773,https://open.spotify.com/track/0LNkoLBBuDYHc5OKY2bOvx
Such Great Heights,The Postal Service,0cs7BfenkAuxTVJv96KMme,"rock, electronic, alternative, indie, pop, indie_rock, indie_pop, love",unknown,2003,267466,0.649,0.814,-8.447,0.0469,0.00918,0.23,0.0672,0.199,174.979,https://open.spotify.com/track/0cs7BfenkAuxTVJv96KMme
Mardy Bum,Arctic Monkeys,0gNQKJ5uTPeuxF2iVJAUAc,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",Rock,2006,175426,0.634,0.599,-5.447,0.0365,0.0288,0.0,0.197,0.312,112.215,https://open.spotify.com/track/0gNQKJ5uTPeuxF2iVJAUAc
Fake Plastic Trees,Radiohead,045sp2JToyTaaKyXkGejPy,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, love, beautiful, britpop, mellow",Rock,1995,290706,0.454,0.229,-12.592,0.0297,0.167,0.102,0.202,0.134,73.552,https://open.spotify.com/track/045sp2JToyTaaKyXkGejPy
Sweet Home Alabama,Lynyrd Skynyrd,00I3Ty0pd83FWrPufrF03P,"rock, classic_rock, 70s, blues_rock",Rock,1998,283973,0.575,0.542,-14.544,0.0256,0.324,0.000783,0.0977,0.855,97.804,https://open.spotify.com/track/00I3Ty0pd83FWrPufrF03P
This Love,Maroon 5,0mIllpvSLn6pEgBNTkCmKX,"rock, alternative, pop, alternative_rock, love, 00s, pop_rock",RnB,2007,205786,0.714,0.862,-4.603,0.0363,0.0609,0.0,0.093,0.764,95.038,https://open.spotify.com/track/0mIllpvSLn6pEgBNTkCmKX
Don't Look Back in Anger,Oasis,0dgwXPvMBoEtA4iljLy0zY,"rock, alternative, indie, alternative_rock, british, 90s, britpop",unknown,1995,287826,0.354,0.913,-3.584,0.0706,0.0255,4.11e-06,0.152,0.216,163.934,https://open.spotify.com/track/0dgwXPvMBoEtA4iljLy0zY
Speed of Sound,Coldplay,1CAPtD2FgB23xGewa3nqkg,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, piano, 00s, britpop, mellow",Rock,2008,287906,0.523,0.898,-6.765,0.0567,0.00491,0.0345,0.0746,0.355,123.085,https://open.spotify.com/track/1CAPtD2FgB23xGewa3nqkg
Break on Through (to the Other Side),The Doors,1OdO2milIwmQTkIkLZyPo0,"rock, classic_rock, psychedelic, 60s, psychedelic_rock",unknown,1972,145866,0.421,0.751,-9.584,0.0472,0.202,0.0,0.17,0.789,89.839,https://open.spotify.com/track/1OdO2milIwmQTkIkLZyPo0
Here Without You,3 Doors Down,0AG5b5RfnsTUmKWni1WrVT,"rock, alternative, alternative_rock, love",unknown,2008,237080,0.552,0.541,-6.798,0.0247,0.049,0.0,0.189,0.202,144.011,https://open.spotify.com/track/0AG5b5RfnsTUmKWni1WrVT
Black Hole Sun,Soundgarden,00akIMQYqZtMOq20xIOQId,"rock, alternative, alternative_rock, 90s, grunge",unknown,2016,271435,0.369,0.829,-3.974,0.0391,0.000199,0.000148,0.0761,0.139,105.414,https://open.spotify.com/track/00akIMQYqZtMOq20xIOQId
Sultans of Swing,Dire Straits,00C4IJWpY3k2cmo7dHuSs1,"rock, classic_rock, 80s, 70s, guitar",Rock,2013,348812,0.736,0.815,-9.302,0.0304,0.0763,0.0799,0.27,0.921,148.152,https://open.spotify.com/track/00C4IJWpY3k2cmo7dHuSs1
Another One Bites the Dust,Queen,0ibKC39pfwJSXY6ZNSbmJN,"rock, classic_rock, hard_rock, 80s, british",unknown,2009,215345,0.935,0.526,-6.576,0.164,0.104,0.279,0.151,0.757,109.974,https://open.spotify.com/track/0ibKC39pfwJSXY6ZNSbmJN
Learn to Fly,Foo Fighters,0mWiuXuLAJ3Brin3Or2x6v,"rock, alternative, alternative_rock, 90s, grunge",unknown,2009,234800,0.439,0.931,-2.59,0.0473,1.92e-05,1.21e-05,0.193,0.527,135.944,https://open.spotify.com/track/0mWiuXuLAJ3Brin3Or2x6v
Kryptonite,3 Doors Down,0cb0Ks7AHEG2WojvmxBf1x,"rock, alternative, alternative_rock, hard_rock",unknown,2012,235466,0.546,0.805,-7.142,0.0281,0.00636,2.01e-05,0.152,0.529,99.01,https://open.spotify.com/track/0cb0Ks7AHEG2WojvmxBf1x
Radioactive,Imagine Dragons,07k45oBi6TbbwB2fxCcGl5,"rock, alternative, indie, alternative_rock, indie_rock, american",unknown,2013,186653,0.471,0.765,-5.087,0.0616,0.133,1.78e-06,0.733,0.232,136.351,https://open.spotify.com/track/07k45oBi6TbbwB2fxCcGl5
Are You Gonna Be My Girl,Jet,0bCdJzPO8jzme0oCAtIZxr,"rock, alternative, indie, alternative_rock, indie_rock",unknown,2012,213800,0.596,0.927,-5.751,0.0727,0.00137,0.000244,0.129,0.591,104.708,https://open.spotify.com/track/0bCdJzPO8jzme0oCAtIZxr
Wake Me Up When September Ends,Green Day,0rWZLMLDOFn7xAtwJrGDuj,"rock, alternative, indie, alternative_rock, punk, punk_rock, american, 00s",unknown,2013,285653,0.546,0.814,-5.146,0.0314,0.023,0.0,0.0972,0.146,104.98,https://open.spotify.com/track/0rWZLMLDOFn7xAtwJrGDuj
Last Nite,The Strokes,1zfcJIw2XkBoBSOzLDbiM5,"rock, alternative, indie, alternative_rock, indie_rock, 00s",Rock,2001,193373,0.624,0.899,-5.71,0.0295,0.0223,0.000155,0.0975,0.797,104.055,https://open.spotify.com/track/1zfcJIw2XkBoBSOzLDbiM5
All Apologies,Nirvana,0Bb6Ew55idKQ8IYTiQNnKy,"rock, alternative, alternative_rock, 90s, grunge",unknown,1993,229973,0.446,0.666,-11.386,0.0402,0.0533,2.1e-05,0.12,0.423,113.347,https://open.spotify.com/track/0Bb6Ew55idKQ8IYTiQNnKy
